Status,Family size,AMI,Gender,Monthly Rent,Back Rent Claimed,zip,0,1,,,,,,1
Tenant Application Received,1,30,Female,$289.00 ,"$2,401.00 ",91342,0,289,,,,,,1
Tenant Application Received,2,30,Female,$290.00 ,"$2,691.00 ",90007,0,290,,,,,,1
Closed Ineligible,5,30,Female,$293.00 ,"$3,200.00 ",90047,0,293,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$295.00 ,"$1,770.00 ",90026,0,295,,,,,,1
Closed Ineligible,, ,Male,$296.61 ,"$4,182.00 ",,0,296.61,,,,,,1
Manager Approval Required,1,30,Female,$297.01 ,"$1,560.62 ",90744,1560.62,297.01,,,,,,1
Closed Ineligible,4,50,Female,$299.00 ,"$13,524.00 ",90220,0,299,,,,,,1
Tenant Application Received,6,30,Female,$300.00 ,"$69,000.00 ",90043,0,300,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,2,30,Female,$300.00 ,"$23,000.00 ",90062,0,300,,,,,,1
Tenant Application Received,1,30,Female,$300.00 ,"$18,000.00 ",90043,0,300,,,,,,1
Tenant Application Received,1,30,Female,$300.00 ,"$13,500.00 ",90003,0,300,,,,,,1
Tenant Application Received,1,30,Male,$300.00 ,"$6,300.00 ",90059,0,300,,,,,,1
Closed Ineligible,1,30,Male,$300.00 ,"$6,000.00 ",90262,0,300,,,,,,1
Tenant Application Received,2,30,Female,$300.00 ,"$4,800.00 ",90007,0,300,,,,,,1
Tenant Application Received,3,30,Female,$300.00 ,"$4,500.00 ",90059,0,300,,,,,,1
Tenant Application Received,1,30,Male,$300.00 ,"$3,600.00 ",90062,0,300,,,,,,1
Tenant Application Received,1,30,Female,$300.00 ,"$2,700.00 ",90011,0,300,,,,,,1
Tenant Application Received,2,30,Female,$300.00 ,"$2,400.00 ",90003,0,300,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Female,$300.00 ,"$1,800.00 ",90731,0,300,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$300.00 ,"$1,800.00 ",90028,0,300,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$300.00 ,$900.00 ,91326,900,300,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$300.00 ,$900.00 ,90065,900,300,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$302.00 ,"$1,812.00 ",90013,0,302,,,,,,1
Tenant Application Received,3,30,Female,$305.00 ,"$2,745.00 ",90002,0,305,,,,,,1
Tenant Application Received,1,30,Female,$306.00 ,"$2,502.00 ",90002,0,306,,,,,,1
Tenant Application Received,1,30,Male,$308.00 ,"$4,184.00 ",90017,0,308,,,,,,1
Tenant Application Received,1,30,Female,$308.00 ,"$3,206.00 ",90017,0,308,,,,,,1
Tenant Application Received,1,30,Male,$310.00 ,"$1,824.74 ",90017,1824.74,310,,,,,,1
Tenant Application Received,3,30,Female,$311.25 ,"$2,352.00 ",90031,0,311.25,,,,,,1
Tenant Application Received,1,30,Male,$313.00 ,"$4,937.00 ",90013,0,313,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$314.00 ,$628.00 ,90008,628,314,,,,,,1
Tenant Application Received,3,30,Female,$315.00 ,"$3,150.00 ",90002,0,315,,,,,,1
Tenant Application Received,3,30,Female,$315.00 ,"$2,355.00 ",90007,0,315,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,3,30,Female,$315.00 ,"$1,575.00 ",90015,1575,315,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$320.00 ,"$5,182.99 ",90044,0,320,,,,,,1
Closed Ineligible,1,30,Male,$324.00 ,"$1,296.00 ",90017,1296,324,,,,,,1
Tenant Application Received,1,30,Female,$326.00 ,"$4,890.00 ",90014,0,326,,,,,,1
Closed Ineligible,1,30,Male,$328.00 ,$656.00 ,90043,656,328,,,,,,1
Application on Hold,2,30,Male,$329.11 ,"$2,000.00 ",90006,0,329.11,,,,,,1
Tenant Application Received,2,30,Female,$330.00 ,"$2,310.00 ",90037,0,330,,,,,,1
Tenant Application Received,1,30,Male,$340.00 ,"$4,460.00 ",90021,0,340,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$340.00 ,"$1,020.00 ",90017,1020,340,,,,,,1
Tenant Pending Final Submission of Documents,7,30,Female,$340.00 ,$360.00 ,90002,360,340,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$343.00 ,$686.00 ,90017,686,343,,,,,,1
Closed Ineligible,1,30,Female,$344.75 ,"$1,379.00 ",90063,1379,344.75,,,,,,1
Closed Ineligible,5, ,Female,$348.00 ,"$7,648.00 ",90058,0,348,,,,,,1
Tenant Application Received,1,30,Female,$350.00 ,"$2,450.00 ",90014,0,350,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Female,$350.00 ,"$2,100.00 ",90008,0,350,,,,,,1
Closed Ineligible,1,30,Female,$350.00 ,"$1,400.00 ",90003,1400,350,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$350.00 ,"$1,050.00 ",90011,1050,350,,,,,,1
Closed Ineligible,1,30,Male,$351.00 ,$885.00 ,90038,885,351,,,,,,1
Closed Ineligible,1,30,Female,$356.00 ,"$1,068.00 ",90029,1068,356,,,,,,1
Tenant Application Received,1,30,Male,$360.50 ,"$16,583.00 ",90033,0,360.5,,,,,,1
Tenant Application Received,2,30,Female,$363.00 ,"$5,501.00 ",90044,0,363,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$364.00 ,$706.00 ,90017,706,364,,,,,,1
Closed Ineligible,2,30,Female,$365.00 ,"$6,205.00 ",90059,0,365,,,,,,1
Tenant Pending Final Submission of Documents,1,30,I prefer not to answer,$368.00 ,"$2,208.00 ",90013-2640,0,368,,,,,,1
Tenant Application Received,1,30,Male,$369.00 ,"$5,535.00 ",90014,0,369,,,,,,1
Closed Ineligible,5,30,Female,$369.00 ,"$3,006.00 ",90047,0,369,,,,,,1
Closed Ineligible,2,30,Female,$369.00 ,$369.00 ,90061,369,369,,,,,,1
Tenant Application Received,2,30,Female,$371.00 ,"$7,293.00 ",90026,0,371,,,,,,1
Application on Hold,1,30,Male,$373.00 ,"$7,470.00 ",90013,0,373,,,,,,1
Tenant Application Received,1,30,Female,$373.00 ,"$1,448.00 ",90017,1448,373,,,,,,1
Closed Ineligible,2,30,Female,$375.97 ,"$3,600.00 ",90059,0,375.97,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,5,30,Female,$379.00 ,"$1,137.00 ",90031,1137,379,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$379.00 ,$922.00 ,90017,922,379,,,,,,1
Tenant Application Received,1,30,Male,$384.00 ,"$3,840.00 ",90013,0,384,,,,,,1
Closed Ineligible,2,30,Female,$384.98 ,$392.00 ,90015,392,384.98,,,,,,1
Tenant Application Received,1,30,Male,$385.00 ,"$4,418.00 ",90017,0,385,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$385.74 ,$385.74 ,90029,385.74,385.74,,,,,,1
Tenant Application Received,1,30,Male,$388.00 ,$486.00 ,90017,486,388,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,$389.00 ,"$2,062.20 ",90017,2062.2,389,,,,,,1
Tenant Application Received,3,30,Female,$391.00 ,"$4,812.46 ",,0,391,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$391.00 ,"$2,346.00 ",90013,0,391,,,,,,1
Tenant Application Received,1,30,Male,$394.00 ,"$3,155.00 ",90017,0,394,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Male,$394.00 ,"$2,364.00 ",90002,0,394,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$395.00 ,"$1,185.00 ",90018,1185,395,,,,,,1
Tenant Application Received,1,30,Male,$396.00 ,"$3,960.00 ",90005,0,396,,,,,,1
Closed Ineligible,1,30,Female,$397.00 ,"$1,652.00 ",90037,1652,397,,,,,,1
Tenant Application Received,2,30,Male,$400.00 ,"$15,200.00 ",91345,0,400,,,,,,1
Tenant Application Received,3,30,Male,$400.00 ,"$14,400.00 ",90018,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$11,200.00 ",90014,0,400,,,,,,1
Tenant Application Received,1,30,Female,$400.00 ,"$10,000.00 ",90014,0,400,,,,,,1
Closed Ineligible,1,30,Female,$400.00 ,"$9,000.00 ",90012,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$8,800.00 ",90014,0,400,,,,,,1
Tenant Application Received,1,30,Female,$400.00 ,"$8,676.65 ",90012,0,400,,,,,,1
Closed Ineligible,3,30,Female,$400.00 ,"$7,200.00 ",90008,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$6,800.00 ",90014,0,400,,,,,,1
Tenant Application Received,1,30,Female,$400.00 ,"$6,550.00 ",90013,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$6,400.00 ",90059,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$5,600.00 ",90014,0,400,,,,,,1
Tenant Application Received,3,30,Female,$400.00 ,"$5,600.00 ",90006,0,400,,,,,,1
Application on Hold,1,30,Male,$400.00 ,"$5,500.00 ",90006,0,400,,,,,,1
Application on Hold,2,30,Female,$400.00 ,"$5,305.86 ",90038,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$5,200.00 ",90014,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$5,200.00 ",90014,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$3,820.00 ",90744,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$3,600.00 ",90014,0,400,,,,,,1
Tenant Application Received,1,30,Male,$400.00 ,"$2,800.00 ",90014,0,400,,,,,,1
Closed Ineligible,3,30,Female,$400.00 ,"$2,570.00 ",90044,0,400,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,1,30,Male,$400.00 ,"$2,400.00 ",90014,0,400,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$400.00 ,"$2,400.00 ",90003,0,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,I prefer not to answer,$400.00 ,"$2,400.00 ",90014,0,400,,,,,,1
Application on Hold,1,30,Male,$400.00 ,"$2,400.00 ",90013,0,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$400.00 ,"$2,400.00 ",91607,0,400,,,,,,1
Application on Hold,1,30,Male,$400.00 ,"$2,400.00 ",90011-1411,0,400,,,,,,1
Application on Hold,1,30,Female,$400.00 ,"$2,400.00 ",90014,0,400,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$400.00 ,"$2,170.00 ",90044,2170,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$400.00 ,"$1,803.00 ",90013,1803,400,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Male,$400.00 ,"$1,800.00 ",90032,1800,400,,,,,,1
Application on Hold,1,30,Male,$400.00 ,"$1,800.00 ",90014,1800,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$400.00 ,"$1,600.00 ",90013,1600,400,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Male,$400.00 ,"$1,600.00 ",90014,1600,400,,,,,,1
Tenant Pending Final Submission of Documents,5,30,Female,$400.00 ,"$1,600.00 ",90011,1600,400,,,,,,1
Closed Ineligible,1,30,Male,$400.00 ,"$1,000.00 ",90013,1000,400,,,,,,1
Tenant Application Received,1,50,Male,$400.00 ,$988.67 ,90013,988.67,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$400.00 ,$800.00 ,90014,800,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Trans Female,$400.00 ,$800.00 ,90014,800,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$400.00 ,$800.00 ,90014,800,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$400.00 ,$800.00 ,90014,800,400,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$400.00 ,$800.00 ,90037,800,400,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$400.00 ,$800.00 ,90047,800,400,,,,,,1
Tenant Approved: Tenant & Landlord Under Review,1,30,Male,$400.00 ,$720.00 ,90013,720,400,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$400.00 ,$400.00 ,90047,400,400,,,,,,1
Closed Ineligible,1,30,Female,$400.00 ,$400.00 ,90013,400,400,,,,,,1
Tenant Application Received,4,30,Female,$406.00 ,"$4,705.80 ",90731,0,406,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$410.00 ,"$1,075.00 ",90004,1075,410,,,,,,1
Tenant Application Received,1,30,Male,$412.00 ,"$17,655.00 ",90033,0,412,,,,,,1
Tenant Application Received,1,30,Male,$415.00 ,"$11,939.00 ",90015,0,415,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$415.00 ,"$9,960.00 ",90011,0,415,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$416.00 ,"$3,178.00 ",90057,0,416,,,,,,1
Tenant Approved: Landlord Final Notification to Respond,2,30,Female,$417.00 ,"$1,568.00 ",90029,1568,417,,,,,,1
Tenant Approved: Closed Landlord Paid,1,30,Male,$418.00 ,"$1,838.00 ",90017,1838,418,,,,,,1
Tenant Application Received,5,30,Female,$420.00 ,"$6,030.00 ",90011,0,420,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Female,$420.00 ,"$2,100.00 ",90006,2100,420,,,,,,1
Tenant Application Received,1,30,Male,$421.00 ,"$6,907.00 ",90017,0,421,,,,,,1
Manager Approval Required,1,30,Female,$421.00 ,$924.00 ,90017,924,421,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Male,$421.00 ,$488.00 ,90017,488,421,,,,,,1
Manager Approval Required,1,30,Female,$422.00 ,"$1,278.00 ",90017,1278,422,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$422.00 ,"$1,250.00 ",90015,1250,422,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Male,$425.00 ,"$2,544.00 ",90015,2544,425,,,,,,1
Tenant Pending Initial Submission of Documents,1,30,Male,$425.00 ,"$2,300.00 ",90037,2300,425,,,,,,1
Tenant Pending Final Submission of Documents,2,30,Male,$425.00 ,"$1,700.00 ",90011,1700,425,,,,,,1
Application on Hold,3,30,Female,$425.00 ,"$1,275.00 ",90044,1275,425,,,,,,1
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Male,$427.00 ,"$1,962.00 ",90013,1962,427,,,,,,1
Tenant Application Received,1,30,I prefer not to answer,$428.00 ,"$3,424.00 ",90005,0,428,,,,,,1
Tenant Pending Final Submission of Documents,1,30,Female,$428.00 ,"$3,172.00 ",90013,0,428,,,,,,1
Tenant Pending Final Submission of Documents,4,30,Female,$429.00 ,$429.00 ,90247,429,429,,,,,,1
Tenant Pending Final Submission of Documents,3,30,Female,$430.00 ,"$1,720.00 ",91331,1720,430,,,,,,1
Tenant Approved: Landlord Eligibility Under Review,1,30,Female,$430.00 ,$860.00 ,90026,860,430,,,,,,1
Tenant Application Received,1,30,Male,$431.00 ,"$4,310.00 ",90006,0,431,,,,,,1
Tenant Application Received,4,30,Female,$432.00 ,"$11,960.00 ",90059,0,432,,,,,,1
Closed Ineligible,2,30,Female,$432.00 ,"$3,456.00 ",90002,0,432,,,,,,1
