Status,Family size,AMI,Race,Gender,Monthly Rent,Back Rent Claimed,zip,Council District
Closed Ineligible,3,30,Hispanic,Female,1000,1500,90660, 
Tenant Application Received,1,30,Black,Female,1663.24,17190.06,90028,13
Tenant Application Received,1,30,Black,Female,2000,42000,90059,15
Tenant Application Received,1,30,White,Male,3078.25,36936,90291,11
Tenant Approved: Closed Landlord Paid,4,30,Black,Female,2295,6885,90057,1
Tenant Application Received,1,30,Hispanic,Male,1800,12600,90006,1
Tenant Pending Final Submission of Documents,1,30,White,Female,4000,24000,90016,10
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,1000.42,2371.04,90011,9
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Female,2363,4876,90012,1
Tenant Application Received,2,30,Hispanic,Male,2175,38925,90057,1
Tenant Application Received,3,30,Hispanic,Male,1200,13200,90031,1
Tenant Application Received,3,30,Hispanic,Female,1000,16800,90002,15
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,1500,9000,90018,10
Tenant Application Received,1,30,Black,Female,2500,18400,90028,13
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,1513,4992.94,91352,6
Tenant Pending Final Submission of Documents,1,30,Black,Male,3500,17500,90062,8
Tenant Application Received,1,30,Black,Female,1604,19248,91423,4
Manager Approval Required,2,30,Black,Female,3000,18000,90047,8
Tenant Application Received,1,30,White,Male,1856,18900,91423,4
Tenant Application Received,4,30,Black,Male,2600,57200,90001,9
Application on Hold,1,30,White,Female,3099,15495,90006,10
Closed Ineligible,2,30,Black,Female,1375,8250,90806, 
Tenant Pending Final Submission of Documents,1,30,Black,Female,1395,3018.44,90057,1
Closed Ineligible,, ,Other,,0,0,,
Tenant Pending Final Submission of Documents,3,30,Black,Female,2175,13050,90044,8
Closed Ineligible,2,30,Black,Male,1500,21100,90247, 
Closed Ineligible,5,30,Hispanic,Female,2750,13750,91321, 
Tenant Application Received,1,30,Other,Male,2467.29,23918.47,90015,14
Tenant Application Received,2,30,Other,Male,2250,23650,91607,2
Tenant Approved: Landlord Final Notification to Respond,1,30,White,Female,689.96,1267.75,90013,9
Tenant Approved: Tenant & Landlord Under Review,8+,30,Hispanic,Male,2400,12000,91342,7
Tenant Pending Final Submission of Documents,7,30,Hispanic,Female,1650,9900,90042,1
Tenant Approved: Landlord Eligibility Under Review,1,30,White,Male,850,5100,90043,8
Tenant Pending Final Submission of Documents,1,30,White,Female,4000,24000,90008,10
Tenant Application Received,3,30,Black,Female,2393,23930,91406,6
Tenant Pending Final Submission of Documents,1,30,White,Female,2093.38,9591.24,91606,2
Closed Ineligible,5,30,Asian,Female,3800,19000,91326,12
Tenant Approved: Landlord Final Notification to Respond,3,30,Black,Female,717,1805,90037,9
Application on Hold,4,30,White,Male,4800,28800,91352,2
Tenant Approved: Closed Landlord Paid,6,30,Hispanic,Female,1371.99,6909.95,91352,2
Closed Ineligible,1,50,Black,Female,1500,13500,90061, 
Tenant Approved: Tenant & Landlord Under Review,1,30,White,Male,2950,17700,90018,10
Tenant Pending Final Submission of Documents,1,30,Black,Female,1650,5082,90001,9
Tenant Pending Final Submission of Documents,2,30,Black,Female,1241,2482,90011,9
Tenant Application Received,3,30,White,Male,3500,52500,91605,2
Tenant Application Received,3,30,Hispanic,Male,1200,25200,90038,13
Tenant Approved: Landlord Eligibility Under Review,1,30,White,Gender Non-Confirming,1495,2990,90017,1
Closed Ineligible,4,30,White,Female,2300,13800,91201, 
Tenant Eligibility Under Review,1,30,White,Female,1900,15300,91343,12
Tenant Application Received,2,50,Other,Female,1799,1799,90044,15
Application on Hold,1,30,Black,Male,700,1000,90043,8
Tenant Approved: Landlord Eligibility Under Review,1,30,White,Female,1104.44,4400,90019,10
Tenant Approved: Closed Landlord Paid,4,30,White,Female,2650,2650,91316,4
Application on Hold,1,30,Black,Female,1795,9525,90068,4
Tenant Pending Initial Submission of Documents,3,30,White,Male,5110,45990,90037,9
Application on Hold,1,30,Black,Female,1600,3748,91303,3
Tenant Application Received,1,30,Hispanic,Female,1400,11200,90065,1
Tenant Application Received,1,30,Black,Female,500,4000,90043,8
Tenant Application Received,6,30,Hispanic,Female,1800,16200,91405,2
Tenant Application Received,3,30,White,Female,5350,42800,91324,12
Tenant Application Received,3,30,Hispanic,Female,3640,80080,90012,1
Closed Ineligible,1,30,Black,Male,2100,12600,90037,9
Application on Hold,2,30,Black,Female,1942,11652,90037,9
Closed Ineligible,2,30,Black,Female,1450,935,90813, 
Tenant Application Received,3,30,White,Male,2420.94,29051.28,90020,13
Tenant Pending Final Submission of Documents,2,30,Black,Male,1800,10800,90044,8
Manager Approval Required,2,30,White,Male,3500,21000,91604,2
Closed Ineligible,1,30,White,Female,1550,20150,91505, 
Tenant Application Received,1,30,White,Female,1310.44,17109.28,90046,4
Tenant Application Received,3,30,Hispanic,Female,1800,34200,91364,3
Closed Ineligible,1,30,Hispanic,Female,789,789,90015,14
Tenant Pending Final Submission of Documents,4,50,White,Male,4300,25800,91344,12
Tenant Approved: Landlord Pending Final Submission of Documents,2,30,White,Female,3000,18000,91042,7
Application on Hold,1,30,Black,Male,1260,1260,90006,1
Tenant Application Received,2,30,Hispanic,Female,900,6300,90065,1
Tenant Application Received,1,30,Asian,Female,1500,18000,90006,10
Tenant Pending Final Submission of Documents,5,30,White,Male,4000,8000,91406,6
Tenant Pending Final Submission of Documents,4,30,White,Female,1695,1695,90710,15
Tenant Pending Final Submission of Documents,1,30,Black,Female,725,1764.25,90019,10
Tenant Application Received,1,30,White,Male,1660,9714,90026,13
Landlord Application Submitted Pending Tenant,, ,Other,,0,0,,
Tenant Application Received,2,30,Hispanic,Female,1900,15200,90062,8
Tenant Approved: Landlord Eligibility Under Review,3,30,Other,Female,1975,1975,91316,4
Tenant Application Received,3,30,Hispanic,Male,3250,25250,91331,6
Tenant Application Received,2,30,Black,Male,4250,67680,90036,5
Tenant Eligibility Under Review,2,30,Other,Female,1698.54,1698.54,90012,14
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,1600,3400,90031,14
Tenant Application Received,4,30,Hispanic,Female,1800,16200,90006,10
Tenant Application Received,1,30,Black,Female,1704,4396.03,90066,11
Tenant Approved: Landlord Eligibility Under Review,1,30,White,Male,1495,2990,90038,5
Tenant Approved: Landlord Final Notification to Respond,2,30,Asian,Male,1260,1200,90005,10
Application on Hold,2,30,White,Male,1950,5850,90014,14
Tenant Pending Final Submission of Documents,4,30,Black,Male,3600,3600,90046,5
Tenant Application Received,4,30,Asian,Female,3555,28954.09,91324,12
Application on Hold,1,30,Asian,Female,2300,4055.47,90036,5
Closed Ineligible,2,30,White,Female,1499.5,21804.32,91205, 
Tenant Application Received,2,30,Hispanic,Male,1395,5736,90020,10
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Male,2387.62,7162.86,90046,4
Tenant Pending Final Submission of Documents,4,30,White,Male,7750,46500,91604,4
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,3200,3220,90012,14
Tenant Pending Final Submission of Documents,2,30,White,Male,3700,22200,91342,7
Closed Ineligible,1,30,White,Male,2000,12000,93225, 
Tenant Application Received,1,30,Asian,Male,900,13500,90012,14
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Black,Male,1275,3825,90046,5
Tenant Approved: Closed Landlord Paid,2,30,Asian,Female,1285,6425,90004,13
Tenant Approved: Landlord Eligibility Under Review,2,30,Hispanic,Female,1715.47,9883.8,91343,12
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,1000,1000,90011,9
Tenant Application Received,1,30,Other,Female,3517,38903.91,91367,3
Tenant Application Received,1,30,Hispanic,Male,2470.5,17470.5,90028,13
Tenant Application Received,2,30,Black,Female,1000,35000,90059,15
Closed Ineligible,3,30,Hispanic,Female,850,5550,90059, 
Tenant Approved: Landlord Eligibility Under Review,1,30,White,Male,1604,4800,90028,13
Application on Hold,4,30,Hispanic,Female,1350,8100,90003,9
Application on Hold,3,30,Other,Male,3750,22500,91335,3
Closed Ineligible,2,30,Hispanic,Female,1175,25800,90806, 
Closed Ineligible,1,30,Other,Male,8500,108375,90068, 
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Black,Female,1000,4206,90018,8
Tenant Pending Final Submission of Documents,2,30,White,Female,2650,6000,91367,3
Closed Ineligible,1,50,Black,Female,3785,87055,90292, 
Application on Hold,3,30,Asian,Male,1760,1600,90006,10
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Female,1395,1594,90004,10
Tenant Application Received,1,30,Black,Male,1751,15123.88,90034,10
Tenant Application Received,3,30,Hispanic,Female,1316,28394.54,91606,2
Application on Hold,2,30,Black,Male,1759,6314.73,91406,6
Tenant Approved: Landlord Final Notification to Respond,1,30,Black,Female,2587,15522,90292,11
Tenant Pending Final Submission of Documents,1,30,Black,Female,1543,9258,90047,8
Closed Ineligible,1,30,Black,Male,580,1740,91754, 
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,1810,9050,90039,4
Tenant Application Received,4,30,White,Male,1800,16200,91605,2
Tenant Application Received,1,50,Black,Male,2150,40850,91304,3
Tenant Application Received,4,30,Other,I prefer not to answer,1998,17916.3,90061,15
Tenant Application Received,3,30,Black,Female,2450,17485.25,90035,5
Tenant Application Received,1,30,Other,Male,2175,31225,90013,14
Tenant Pending Final Submission of Documents,4,30,Black,Female,767.86,3071.44,90062,8
Tenant Approved: Landlord Final Notification to Respond,5,30,Hispanic,Female,1800,10000,90011,9
Closed Ineligible,1,30,Black,Female,1695,6780,90019,10
Application on Hold,1,30,Black,Male,1895,9286.87,90046,13
Closed Ineligible,3,30,Black,Female,1850,4700,90001, 
Tenant Application Received,2,30,Black,Female,1800,33700,90731,15
Tenant Pending Final Submission of Documents,5,30,Hispanic,Female,2300,9200,91343,6
Tenant Application Received,4,30,Black,Female,1200,6300,90002,9
Tenant Approved: Landlord Final Notification to Respond,1,30,Black,Female,25,766,90017,1
Application on Hold,2,30,Hispanic,Male,3190,9570,91364,3
Tenant Pending Final Submission of Documents,1,30,White,Male,3200,19200,90038,13
Tenant Application Received,1,30,Hispanic,Male,1320.15,6336,90048,5
Tenant Application Received,1,30,Asian,Male,1632.85,16328.5,90006,1
Closed Ineligible,3,30,Hispanic,Female,2050,20225,91801, 
Closed Ineligible,1,30,Hispanic,I prefer not to answer,2400,50400,90292, 
Tenant Application Received,6,30,Hispanic,Female,1350,17550,90004,13
Tenant Pending Final Submission of Documents,4,30,Other,Female,1520,3040,91601,2
Closed Ineligible,1,30,Hispanic,Male,850,9350,90201, 
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Black,Female,2500,15900,91367,3
Closed Ineligible,1,30,Hispanic,Male,850,4250,90001, 
Closed Ineligible,1,30,Hispanic,Female,1575,14175,90022, 
Tenant Application Received,3,50,White,Female,4100,82000,91605, 
Application on Hold,3,30,Hispanic,Female,2280,6837.31,90028,13
Tenant Approved: Closed Landlord Paid,3,30,Hispanic,Female,1465,5860,90011,9
Tenant Approved: Landlord Pending Final Submission of Documents,2,30,White,Female,1271.71,6358.55,91401,2
Tenant Application Received,2,30,Black,Female,1350,9450,90018,10
Tenant Application Received,1,30,Other,Female,1605,8750.49,90006,1
Tenant Application Received,2,30,Hispanic,Female,2500,37500,90059,15
Tenant Application Received,1,30,Hispanic,Male,1800,16200,90043,8
Closed Ineligible,4,30,Black,Female,1535,4605,90056, 
Tenant Application Received,3,30,Hispanic,Female,1219,13409,90020,10
Tenant Approved: Tenant & Landlord Under Review,1,30,White,Male,901.91,1908.68,90015,14
Tenant Application Received,1,30,Black,Male,3495,11633.46,90028,13
Tenant Application Received,1,30,White,Female,850,5150,90042,14
Tenant Application Received,1,30,White,Male,2800,28000,90005,5
Tenant Pending Final Submission of Documents,2,30,White,Female,3700,22200,91401,4
Tenant Approved: Landlord Pending Final Submission of Documents,3,30,Hispanic,Female,2000,2000,90019,10
Tenant Application Received,2,30,Hispanic,Female,1400,12600,91306,3
Tenant Application Received,1,30,Black,Female,1226,11034,91601,2
Closed Ineligible,3,30,Hispanic,Female,1185,3339,90744,15
Tenant Application Received,3,30,Hispanic,Male,2250,24750,90004,13
Tenant Pending Final Submission of Documents,2,30,Other,Male,2100,2100,90015,14
Tenant Pending Final Submission of Documents,2,30,Black,Male,2246,21275.16,91604,4
Tenant Application Received,3,30,Hispanic,Male,750,5250,90007,1
Tenant Application Received,1,30,Black,Male,4300,34400,90043,8
Application on Hold,3,30,Black,Female,2700,6450,90034,10
Tenant Approved: Landlord Eligibility Under Review,1,30,Black,Female,2189,3813.35,90292,11
Tenant Approved: Closed Landlord Paid,6,30,Hispanic,Male,2700,4900,91343,6
Tenant Eligibility Under Review,1,30,White,Male,1800,14400,90011,9
Tenant Application Received,1,30,Black,Female,1500,16800,90047,8
Closed Ineligible,1,30,Hispanic,Female,1800,5400,91205, 
Tenant Application Received,1,30,Black,Female,1700,31100,91406,6
Tenant Approved: Tenant & Landlord Under Review,4,30,Hispanic,Female,1975,1975,91326,12
Closed Ineligible,1,30,Black,Male,2750,5500,90008,10
Tenant Application Received,2,30,Hispanic,Male,2650,29150,90004,10
Tenant Application Received,1,30,White,Gender Non-Confirming,1453.61,21804.15,90005,10
Tenant Approved: Pending Payment to the Landlord,2,30,Hispanic,Female,1800,10800,90033,14
Manager Approval Required,3,30,White,Male,3800,22800,90029,13
Tenant Application Received,1,30,White,Female,6900,69000,91402,6
Closed Ineligible,1,30,Hispanic,Female,1950,1950,90042,1
Tenant Application Received,1,30,Other,Female,1785,17850,90004,10
Tenant Application Received,1,30,Other,I prefer not to answer,1147.64,14919.32,90006,1
Tenant Pending Final Submission of Documents,1,30,White,Male,4000,24000,90008,10
Tenant Application Received,1,30,Black,Male,2600,36400,90047,8
Tenant Application Received,3,30,White,Male,5500,38500,91411,4
Closed Ineligible,2,50,Other,Female,2475,2475,91504, 
Tenant Application Received,2,30,White,Male,3153.03,31994.96,90028,13
Tenant Application Received,1,30,Other,Female,1600,32000,90015,14
Tenant Pending Final Submission of Documents,4,30,Hispanic,Male,1500,1600,90011,9
Tenant Application Received,1,30,Hispanic,Female,2134,16870,91423,4
Tenant Pending Final Submission of Documents,2,30,Black,Male,2290,8300,90008,10
Tenant Application Received,4,30,Hispanic,Female,1800,14400,90023,14
Tenant Pending Final Submission of Documents,2,30,Black,Female,1800,3500,90047,8
Tenant Approved: Landlord Pending Final Submission of Documents,1,30,Black,Female,1253.97,7523.82,90008,10
Tenant Approved: Closed Landlord Paid,1,30,Black,Female,1118.44,4471.41,90020,10
Closed Ineligible,2,30,White,Female,1955,800,90260, 
Tenant Approved: Landlord Eligibility Under Review,2,30,Hispanic,Male,1721,1721,91367,3
Tenant Application Received,1,30,Black,Female,13,4174,90013,14
Tenant Application Received,1,30,White,Female,1295,9065,90067,5
Tenant Application Received,2,30,White,Female,2700,32400,90029,13
Tenant Application Received,1,30,Black,Male,1100,9900,90043,8
Tenant Pending Final Submission of Documents,1,30,White,Male,4000,24000,90016,10
Tenant Application Received,1,30,Hispanic,Female,1950,15600,90744,15
Tenant Application Received,3,30,White,Female,5500,44000,91344,12
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,1120,5310.52,90013,9
Tenant Pending Final Submission of Documents,2,30,Black,Female,507,4040,90017,1
Tenant Application Received,1,30,Other,Male,3600,158400,91303,3
Tenant Pending Final Submission of Documents,1,30,Black,Female,1464,1464,90006,1
Closed Ineligible,5,30,Hispanic,Female,1404,7124,90042,1
Tenant Application Received,1,30,White,Male,4700,51700,91405,2
Tenant Application Received,3,30,Black,Female,4900,34300,90033,14
Closed Ineligible,3,30,Hispanic,Male,1966.38,11798.28,90025,11
Closed Ineligible,2,30,Black,Male,1350,14850,93535, 
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,2200,13200,91602,2
Closed Ineligible,1,30,White,Female,1350,4050,90014,14
Application on Hold,3,30,Other,Female,1500,9000,90044,8
Tenant Approved: Landlord Final Notification to Respond,1,30,Black,Female,956,4780,90008,10
Closed Ineligible,2,80,Hispanic,Female,2114,2114,90242, 
Closed Ineligible,1,30,Black,Female,1935,14360,90301, 
Tenant Application Received,2,30,Hispanic,Female,2250,33750,91303,3
Tenant Application Received,2,30,Hispanic,Female,1000,11000,90017,1
Tenant Application Received,5,30,Hispanic,Female,1500,18000,90011,9
Tenant Application Received,1,30,Black,Male,933.99,11363.86,90057,1
Closed Ineligible,1,30,Black,Female,1029.44,5749.28,90006,1
Tenant Application Received,2,30,Black,Male,3350,23450,90014,14
Tenant Application Received,3,30,Hispanic,Male,1450,13050,90003,9
Tenant Application Received,1,30,Black,Male,2175,21750,90010,10
Tenant Application Received,1,30,Black,Male,1450,10150,91316,4
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,1332,650,91342,7
Tenant Application Received,1,30,White,Female,2450,40000,91605,2
Closed Ineligible,5,30,Hispanic,Female,1803,600,90270, 
Tenant Application Received,3,30,Hispanic,Female,3300,36630,90012,1
Tenant Pending Final Submission of Documents,5,30,Hispanic,Male,2500,7500,90744,15
Tenant Pending Final Submission of Documents,3,30,White,Male,2850,5700,91403,4
Closed Ineligible,1,30,Hispanic,Male,775,16838,91411,6
Tenant Application Received,1,30,Black,Male,1250,15734,90013,14
Tenant Application Received,1,30,Black,Female,1675,2781.25,90038,13
Tenant Approved: Landlord Final Notification to Respond,6,30,Hispanic,Female,1800,3600,90057,1
Tenant Pending Initial Submission of Documents,3,30,White,Male,5850,52650,90028,13
Tenant Approved: Landlord Eligibility Under Review,1,30,White,Male,1000,1800,91401,2
Tenant Application Received,1,30,Black,Male,2324,51410.57,91423,4
Tenant Application Received,1,30,Black,Female,1574,23610,90039,13
Application on Hold,3,30,Black,Male,3229,14890,90012,14
Tenant Application Received,3,30,Black,Female,2000,15444,90008,10
Tenant Application Received,3,30,Hispanic,Female,1725,15525,91405,6
Tenant Approved: Tenant & Landlord Under Review,3,30,Hispanic,Female,1138.33,2276.66,90037,9
Tenant Approved: Tenant & Landlord Under Review,2,30,Hispanic,Female,1003,4012,90037,9
Tenant Pending Final Submission of Documents,3,30,Black,Male,250,1500,90006,1
Tenant Pending Final Submission of Documents,2,30,White,Male,1200,7200,91356,3
Tenant Pending Final Submission of Documents,2,30,Black,Male,1800,6000,90001,9
Application on Hold,3,30,Asian,Male,2985,4973.22,90744,15
Tenant Application Received,3,30,Hispanic,Female,500,17000,90032,14
Tenant Application Received,2,30,Asian,Male,1450,13050,90005,10
Application on Hold,1,30,Hispanic,Male,1104.44,1104.44,90027,13
Tenant Application Received,3,30,Hispanic,Female,3000,24000,91040,7
Application on Hold,1,30,Hispanic,Female,2662,2662,90012,14
Tenant Approved: Landlord Final Notification to Respond,6,30,Hispanic,Female,935,2805,90033,14
Closed Ineligible,2,30,Other,Female,3000,27000,90212, 
Tenant Application Received,3,30,White,Male,3400,25800,91411,4
Tenant Application Received,3,30,White,Female,4500,36000,91306,3
Tenant Application Received,1,30,Other,Male,550,2849.5,90045,11
Tenant Application Received,1,30,Black,Female,650,23400,90011, 
Tenant Application Received,1,30,Black,Female,1850,18500,90016,10
Tenant Application Received,3,30,Hispanic,Female,1050,26250,90003,9
Closed Ineligible,4,30,Hispanic,Female,1378,7266,90201, 
Tenant Approved: Landlord Final Notification to Respond,3,30,Hispanic,Female,850,3400,90006,1
Closed Ineligible,1,30,Black,Female,2400,8300,90220, 
Closed Ineligible,5,30,Hispanic,Male,500,5500,90044, 
Tenant Application Received,1,30,White,Male,1600,25600,90020,10
Tenant Application Received,1,30,Black,Female,500,10000,90003,8
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,1075.06,6439.53,90023,14
Tenant Application Received,4,30,Asian,Male,2100,8730,90065,1
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,700,2800,90065,13
Tenant Pending Final Submission of Documents,3,30,Other,Male,1650,3300,91311,12
Application on Hold,3,30,Hispanic,Female,1925,1925,91331,7
Tenant Application Received,3,30,Other,Female,1350,25650,90004,13
Landlord Application Submitted Pending Tenant,, ,Other,,0,0,,
Tenant Application Received,1,30,White,Male,4350,52200,91344,12
Closed Ineligible,3,80,White,Female,2937,2937,91101, 
Tenant Application Received,5,30,Black,Female,2500,43800,91411,4
Tenant Application Received,1,30,Black,Female,1691.61,21990.93,90019,5
Closed Ineligible,3,30,Hispanic,Male,2179,9500,91206, 
Tenant Approved: Pending Payment to the Landlord,6,30,Hispanic,Male,2200,6600,90011,9
Tenant Application Received,3,30,White,Male,5000,36000,91343,12
Tenant Pending Final Submission of Documents,1,30,Black,Male,3000,18000,90044,8
Tenant Application Received,1,30,Hispanic,Female,1482,8992,90004,13
Tenant Approved: Closed Landlord Paid,2,30,Black,Female,2900,17400,90043,8
Tenant Approved: Tenant & Landlord Under Review,1,30,Hispanic,Male,400,720,90013,14
Tenant Approved: Landlord Eligibility Under Review,2,30,Asian,Female,2360,4720,90005,10
Tenant Approved: Tenant & Landlord Under Review,1,30,Hispanic,Female,1050,3150,90029,13
Tenant Application Received,2,30,Hispanic,Female,1500,19500,90037,8
Manager Approval Required,1,30,Other,Male,6500,39000,90017,14
Landlord Application Submitted Pending Tenant,, ,Other,,0,0,,
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,1500,1500,90004,10
Tenant Pending Final Submission of Documents,2,30,Other,Male,2500,5000,90005,10
Application on Hold,2,30,Asian,Female,1100,3300,90006,1
Closed Ineligible,5,30,Hispanic,Female,1835,7340,90250, 
Tenant Application Received,1,30,White,Male,4800,67200,90035,5
Tenant Approved: Pending Payment to the Landlord,2,30,Hispanic,Female,2300,11500,90019,10
Application on Hold,7,30,Hispanic,Male,3500,3500,90003,9
Application on Hold,3,30,Hispanic,Female,1471.69,5270.14,91405,2
Tenant Application Received,1,30,White,Male,3750,26250,91352, 
Closed Ineligible,1,50,White,Male,3500,57500,91352,2
Tenant Pending Final Submission of Documents,2,30,White,Female,1650,6000,90020,10
Tenant Pending Final Submission of Documents,1,30,Black,Male,2743.6,16461.6,90017,14
Tenant Application Received,2,30,Black,Male,1800,16200,90044,8
Tenant Application Received,3,30,Hispanic,Male,1505,23929.81,90034,10
Tenant Application Received,3,30,Hispanic,Female,2000,16500,91601,2
Application on Hold,3,30,White,Male,3600,21600,90038,13
Tenant Application Received,4,30,Other,Female,4000,56000,90047,8
Tenant Application Received,1,30,Black,Male,1100,6400,90057,1
Tenant Application Received,5,30,Black,Female,1577.68,11815.27,90008,10
Closed Ineligible,1,30,Black,Female,1950,11700,90019,10
Tenant Pending Final Submission of Documents,3,30,Black,Female,2700,16200,90018,10
Tenant Application Received,1,30,White,Female,1240.02,17360.28,90019,10
Tenant Approved: Landlord Eligibility Under Review,2,30,Other,Male,5500,27500,91352,6
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,1400,2119,90026,1
Closed Ineligible,1,30,Hispanic,Male,2650,15900,91406,6
Tenant Pending Final Submission of Documents,1,30,Hispanic,Male,1278.16,6462.36,90230,11
Tenant Pending Final Submission of Documents,4,30,Hispanic,Male,4350,4850,91303,3
Tenant Application Received,4,30,White,Male,2600,50900,90029,13
Closed Ineligible,2,30,Hispanic,Female,1000,7000,93534, 
Tenant Application Received,2,30,White,Male,4636.98,75993.8,90028,13
Tenant Application Received,4,30,Asian,Male,1680,16302.96,90005,10
Application on Hold,4,30,Hispanic,Female,2500,3970,91403,4
Landlord Application Submitted Pending Tenant,, ,Other,,0,0,,
Tenant Application Received,1,30,Hispanic,Female,3000,48000,90015,14
Tenant Approved: Landlord Final Notification to Respond,5,30,Hispanic,Male,1046,4184,90031,14
Tenant Pending Final Submission of Documents,3,30,White,Male,3300,3300,91607,2
Tenant Application Received,1,30,Other,Female,1310,8870,90033,14
Closed Ineligible,2,30,Hispanic,Male,1248,14976,90020, 
Closed Ineligible,1,30,Black,Female,1677.5,17907.5,90056, 
Tenant Pending Final Submission of Documents,4,30,Black,Female,2165,12990,90037,9
Tenant Application Received,4,30,Hispanic,Male,1225,8575,90002,15
Tenant Application Received,4,30,White,Female,4000,152040,91040,7
Tenant Application Received,3,30,White,Female,3400,54550,91403,4
Application on Hold,6,30,Hispanic,Male,2600,15600,90046,4
Tenant Pending Final Submission of Documents,1,30,Other,Female,2272.83,885.05,90010,10
Tenant Application Received,1,30,Hispanic,Male,400,6800,90014,14
Tenant Pending Final Submission of Documents,1,30,Black,Male,1704.44,1704.44,90004,10
Tenant Approved: Landlord Pending Final Submission of Documents,2,30,Black,Male,1868,11208,91405,6
Tenant Application Received,1,30,Asian,Female,2474,32162,90006,10
Tenant Application Received,3,30,Black,Female,1480,20720,90043,8
Tenant Application Received,1,30,Black,Female,1550,23250,91602,2
Tenant Pending Final Submission of Documents,5,30,Hispanic,Female,1300,4000,90037,9
Closed Ineligible,1,50,Black,Female,1344,8964,90002,99
Tenant Application Received,1,30,Black,Female,900,38700,90018,10
Tenant Approved: Landlord Pending Initial Submission of Documents,2,30,Black,Male,2630,15780,90062,8
Closed Ineligible,1,30,White,Male,4750,57000,91390, 
Tenant Application Received,2,30,White,Male,1900,16650,90046,4
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,2025,1051,91403,4
Closed Ineligible,1,50,White,Male,2850,22800,91042,7
Closed Ineligible,1,30,Other,Female,2500,15000,90056, 
Tenant Application Received,1,30,White,Female,2348.16,21133.44,91367,3
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Hispanic,Female,781.73,5052.84,90015,1
