Status,Family size,AMI,Race,Gender,Monthly Rent,Back Rent Claimed,zip,Council District
Closed Ineligible,1,30,Other,Female,"$3,500.00","$147,000.00",91504, 
Tenant Approved: Closed Landlord Paid,1,30,White,Male,"$1,200.00","$8,100.00",91402,6
Tenant Pending Final Submission of Documents,5,30,Hispanic,Female,"$2,020.00","$8,722.83",91605,6
Tenant Approved: Landlord Eligibility Under Review,1,30,Hispanic,Male,"$1,660.00","$1,660.00",90004,13
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,495.00","$3,190.00",90033,14
Tenant Application Received,1,30,White,Male,"$1,403.24","$14,424.64",91606,2
Application on Hold,5,30,Black,Female,"$1,800.00","$19,000.00",91405,6
Tenant Pending Final Submission of Documents,2,30,Black,Female,"$3,000.00","$18,000.00",90019,10
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$2,150.00","$4,310.00",90004,13
Application on Hold,5,30,Hispanic,Female,"$1,525.00","$9,150.00",90023,14
Tenant Application Received,2,30,Hispanic,Female,"$2,400.00","$19,200.00",90037,9
Closed Ineligible,4,30,Hispanic,Male,"$1,675.00","$6,700.00",90034,10
Tenant Application Received,1,30,Black,Female,"$1,037.61","$7,263.27",90019,10
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$2,200.00","$6,600.00",90015,14
Application on Hold,1,30,Other,Male,"$2,125.00","$6,375.00",91367,3
Tenant Approved: Tenant & Landlord Under Review,1,30,White,Female,"$1,112.92","$3,049.59",90020,10
Tenant Application Received,2,30,Black,Male,"$2,375.00","$19,752.00",90066,11
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,$500.00,"$1,800.00",91331,6
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$1,542.00","$2,039.00",91352,6
Tenant Application Received,2,30,Black,Female,"$2,100.00","$73,500.00",90011,9
Tenant Application Received,2,30,White,Female,"$2,200.00","$17,600.00",91405,2
Closed Ineligible,5,30,Hispanic,Female,$508.00,"$5,588.00",90044, 
Tenant Pending Final Submission of Documents,2,30,Other,Female,"$1,800.00","$10,800.00",90046,4
Manager Approval Required,4,30,Black,Female,"$2,407.00","$14,442.00",90036,5
Tenant Approved: Pending Payment to the Landlord,2,30,Hispanic,Female,$500.00,"$1,150.00",90031,1
Tenant Approved: Pending Payment to the Landlord,2,30,Black,Female,$600.00,"$2,400.00",90002,8
Closed Ineligible,2,30,Black,Female,$369.00,$369.00,90061, 
Tenant Application Received,2,30,Other,Female,"$4,900.00","$34,300.00",91306,3
Tenant Application Received,1,30,Hispanic,Female,$950.00,"$7,600.00",90047,8
Tenant Pending Final Submission of Documents,3,30,Black,Male,"$2,575.00","$12,875.00",90018,10
Tenant Application Received,2,30,Hispanic,Female,"$2,350.00","$16,450.00",91402,6
Application on Hold,3,30,Other,Female,"$1,736.00","$10,416.00",91324,12
Manager Approval Required,1,30,White,Male,"$1,800.00","$10,800.00",91326,12
Tenant Approved: Landlord Pending Initial Submission of Documents,5,30,Hispanic,Male,"$2,200.00","$11,000.00",90012,1
Tenant Application Received,2,30,Hispanic,Male,"$1,598.00","$11,287.35",90046,4
Tenant Application Received,1,30,White,Male,"$3,000.00","$27,000.00",91040,7
Tenant Approved: Closed Landlord Paid,1,30,Black,Female,"$2,100.00","$7,953.58",90028,13
Application on Hold,1,30,Hispanic,Female,$644.00,"$3,220.00",90007,8
Tenant Application Received,1,30,Black,Female,$500.00,"$27,000.00",90029,13
Closed Ineligible,1,30,Black,Male,"$2,150.00","$10,750.00",90001, 
Application on Hold,1,30,Black,Male,"$1,130.00","$7,385.58",90018,8
Tenant Application Received,4,30,Hispanic,Female,"$2,862.00","$40,068.00",91405,6
Tenant Pending Final Submission of Documents,2,30,Black,Female,$745.00,$492.00,90016,10
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,"$2,000.00","$5,500.00",90017,1
Application on Hold,4,30,Hispanic,Male,"$1,420.00","$5,680.00",90020,10
Closed Ineligible,2,30,Other,Male,"$2,500.00","$7,500.00",91506, 
Tenant Application Received,1,30,Asian,Female,$400.00,"$8,676.65",90012,1
Tenant Application Received,2,30,Hispanic,Male,"$1,225.00","$9,800.00",90020,13
Tenant Application Received,2,30,Black,Female,"$1,700.00","$17,000.00",90017,1
Tenant Application Received,2,30,Black,Female,"$1,500.00","$45,000.00",90043,8
Tenant Pending Final Submission of Documents,6,30,Black,Female,"$2,087.00","$6,961.00",91352,6
Closed Ineligible,1,30,Black,Female,"$2,509.00","$12,143.45",90012,14
Tenant Application Received,2,30,Other,Female,"$1,750.00","$4,062.73",91325,12
Tenant Eligibility Under Review,3,30,White,Male,"$5,900.00","$53,100.00",90026,13
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$2,500.00","$15,309.00",91343,7
Tenant Application Received,2,30,White,Male,"$3,550.00","$31,950.00",90027,4
Tenant Pending Final Submission of Documents,1,30,Hispanic,Female,"$1,240.00","$1,240.00",91303,3
Application on Hold,3,30,Hispanic,Female,$671.00,"$2,684.00",90066,11
Tenant Approved: Landlord Final Notification to Respond,2,30,Hispanic,Female,$878.05,"$1,212.20",90026,13
Tenant Application Received,1,30,Hispanic,Male,"$2,875.60","$24,751.00",91423,4
Closed Ineligible,2, ,Asian,Gender Non-Confirming,"$2,150.00","$15,018.00",90004,10
Tenant Application Received,1,30,Other,Female,"$3,200.00","$44,800.00",90056,11
Closed Ineligible,2,30,Black,Female,"$4,420.00","$13,755.60",90017,14
Tenant Application Received,2,30,Black,Female,"$1,375.00","$16,500.00",91040,7
Closed Ineligible,4,30,White,Male,"$2,600.00","$26,000.00",91501, 
Application on Hold,6,30,White,Male,"$4,500.00","$18,000.00",90248-4117,15
Tenant Application Received,3,30,Black,Female,"$2,000.00","$37,000.00",90043,8
Tenant Pending Final Submission of Documents,1,30,Black,Male,$600.00,"$6,000.00",90045,11
Landlord Application Submitted Pending Tenant,, ,Other,,$0.00,$0.00,,
Closed Ineligible,, ,Black,Male,$296.61,"$4,182.00",,
Landlord Application Submitted Pending Tenant,, ,Other,,$0.00,$0.00,,
Closed Ineligible,1,30,Black,Male,"$1,800.00","$25,200.00",90250, 
Tenant Approved: Landlord Final Notification to Respond,8+,30,Hispanic,Female,"$1,713.14","$2,341.64",90044,8
Tenant Application Received,2,30,Hispanic,Female,$700.00,"$4,900.00",90037,9
Tenant Application Received,2,30,Hispanic,Trans Male,"$1,337.00","$13,724.00",90029,13
Tenant Application Received,1,30,White,Male,$905.24,"$16,298.28",91607,2
Tenant Pending Final Submission of Documents,2,30,White,Female,"$1,693.90","$1,693.90",90028,13
Tenant Application Received,2,30,Hispanic,Male,"$1,372.00","$34,300.00",90004,10
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$1,354.00","$2,645.56",90004,10
Tenant Application Received,1,30,Black,Male,"$1,650.00","$10,900.00",90043-2435,8
Tenant Approved: Landlord Final Notification to Respond,3,30,Hispanic,Female,$981.50,$981.50,90004,10
Tenant Application Received,1,30,White,Male,"$3,900.00","$128,700.00",91605,2
Tenant Application Received,1,30,Other,Female,"$1,950.00","$37,650.00",90014,14
Closed Ineligible,3,30,Hispanic,Female,"$1,525.00","$4,275.00",90247, 
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$2,888.00","$17,328.00",90069,4
Tenant Application Received,1,30,White,Female,"$3,500.00","$35,000.00",91401,2
Application on Hold,3,30,Hispanic,Male,"$1,020.00","$6,120.00",91401, 
Closed Ineligible,3,30,Black,Female,$500.00,"$3,132.00",90018,10
Tenant Application Received,7,30,Black,Male,"$1,728.61","$22,471.93",91356,3
Application on Hold,4,30,Hispanic,Male,"$1,845.00","$10,021.98",90006,1
Tenant Application Received,2,30,White,Male,"$1,300.00","$8,100.00",91601,2
Tenant Application Received,3,30,Black,Male,"$2,300.00","$36,800.00",90012, 
Application on Hold,3,30,Hispanic,Male,"$2,549.45","$17,081.95",91367,3
Tenant Application Received,1,30,Black,Male,"$2,500.00","$19,700.00",90018,10
Tenant Application Received,2,30,Black,Male,"$1,100.00","$23,100.00",90047,8
Tenant Pending Final Submission of Documents,2,30,Other,Male,"$2,784.93","$6,697.60",90036,5
Tenant Approved: Landlord Final Notification to Respond,1,30,Other,Male,$755.00,"$20,000.00",90034,5
Tenant Application Received,1,30,White,Female,"$1,600.00","$12,800.00",91306,3
Tenant Application Received,1,30,White,Male,"$1,700.00","$15,300.00",90066,11
Tenant Pending Final Submission of Documents,3,30,Other,Female,"$1,000.00","$4,000.00",90744,15
Closed Ineligible,1,30,Other,Female,"$1,496.00","$4,584.00",91406,6
Closed Ineligible,1,30,White,Female,"$1,069.32","$1,069.32",91205, 
Closed Ineligible,1,30,White,Female,"$4,000.00","$24,000.00",90008,10
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,850.00","$3,700.00",90044,8
Closed Ineligible,2,30,Hispanic,Female,$800.00,"$11,840.00",90001, 
Tenant Application Received,2,30,Hispanic,Female,"$1,641.00","$24,615.00",90044,8
Closed Ineligible,1,30,Other,Male,"$1,350.00","$8,100.00",90001, 
Application on Hold,1,30,Black,Female,"$3,000.00","$18,000.00",90035,10
Closed Ineligible,3,30,White,Female,"$2,500.00","$15,000.00",91201, 
Tenant Pending Final Submission of Documents,1,30,White,Female,"$1,220.49","$1,220.49",90068,4
Tenant Application Received,1,30,Black,Female,"$2,200.00","$17,600.00",90062,8
Application on Hold,2,30,Hispanic,Female,"$2,700.00","$8,100.00",90025,5
Tenant Application Received,1,30,Black,Male,$600.00,"$6,000.00",90017,14
Application on Hold,4,30,Asian,Male,"$2,150.00","$12,900.00",90029,13
Tenant Application Received,1,30,Black,Male,"$1,350.00","$29,700.00",90015,14
Tenant Approved: Landlord Final Notification to Respond,5,30,Hispanic,Male,"$1,500.00","$6,000.00",90011,9
Application on Hold,2,30,Hispanic,Female,"$1,200.00","$5,800.00",91331,7
Application on Hold,3,30,Hispanic,Male,"$1,250.00","$3,750.00",91343, 
Tenant Application Received,2,30,Black,Female,"$2,150.00","$25,800.00",90247,15
Tenant Pending Final Submission of Documents,2,30,Black,Male,"$3,519.00","$9,766.12",91601,2
Tenant Application Received,1,30,Black,Male,$693.00,"$16,079.00",90046,13
Tenant Application Received,2,30,Black,Female,"$2,275.00","$14,903.00",90045,11
Tenant Application Received,1,30,Black,Male,"$1,550.00","$20,150.00",90017,1
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,554.80","$9,304.80",91606,2
Tenant Application Received,3,30,Black,Female,"$2,755.00","$5,170.00",90061,8
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$2,584.00","$9,559.00",91325,12
Tenant Pending Final Submission of Documents,2,30,Black,Female,"$4,500.00","$4,500.00",90032,14
Application on Hold,5,30,Hispanic,Female,"$2,500.00","$15,000.00",90032,14
Tenant Approved: Closed Landlord Paid,3,30,Asian,Female,"$1,500.00","$1,500.00",90041,14
Tenant Pending Final Submission of Documents,1,30,White,Male,"$4,000.00","$24,000.00",90008,10
Tenant Application Received,1,30,Other,Male,"$2,150.00","$23,650.00",90026,1
Tenant Application Received,1,30,Black,Female,"$1,383.00","$17,979.00",90036,5
Tenant Application Received,7,30,Hispanic,Female,"$1,500.00","$10,536.98",91402,6
Closed Ineligible,1,30,White,Female,$972.64,"$13,616.96",90046, 
Tenant Approved: Pending Payment to the Landlord,3,30,Black,Female,"$1,300.00","$6,400.00",90003,9
Tenant Application Received,2,30,White,Female,"$2,700.00","$43,200.00",91325,12
Tenant Approved: Closed Landlord Paid,1,30,Black,Female,$800.00,"$3,000.00",90061,15
Tenant Application Received,1,30,Black,Male,$275.00,"$1,873.00",90037,9
Tenant Application Received,4,30,Hispanic,Female,"$2,275.00","$14,925.00",90018,10
Tenant Application Received,2,30,Other,Female,"$2,500.00","$22,500.00",90026,13
Tenant Pending Final Submission of Documents,1,30,Other,Male,"$4,100.00","$24,600.00",91331,7
Tenant Application Received,3,30,White,Female,"$2,200.00","$39,600.00",91402,6
Tenant Application Received,1,30,Black,Female,"$3,400.00","$27,200.00",91304,3
Tenant Pending Final Submission of Documents,4,30,Hispanic,Male,"$1,652.83","$18,106.00",91325,12
Closed Ineligible,1,30,Other,Male,"$6,000.00","$48,000.00",91205, 
Tenant Application Received,5,30,Hispanic,Female,"$1,200.00","$9,600.00",90023,14
Tenant Approved: Closed Landlord Paid,1,30,Black,Male,"$1,400.00","$8,400.00",90008,8
Tenant Application Received,4,30,Black,Female,"$1,790.00","$16,075.17",90024,5
Tenant Pending Final Submission of Documents,3,30,Hispanic,Male,"$2,100.00","$12,600.00",91605,2
Tenant Application Received,5,30,Black,Female,"$5,000.00","$50,000.00",90003,9
Tenant Eligibility Under Review,3,30,Hispanic,Female,"$1,082.47","$5,262.35",90029,13
Tenant Pending Final Submission of Documents,4,30,Black,Female,"$1,140.00","$6,840.00",90003,9
Manager Approval Required,1,30,White,Male,"$2,900.00","$17,400.00",90037,9
Closed Ineligible,1,30,White,Female,"$1,700.00","$1,700.00",91604,4
Closed Ineligible,1,50,Black,Male,"$1,145.00","$34,959.33",90221, 
Tenant Application Received,3,30,Asian,Male,"$2,120.00","$25,361.53",90036,5
Closed Ineligible,1,30,Other,I prefer not to answer,"$2,050.00","$7,000.00",90221, 
Tenant Application Received,1,30,White,Male,"$3,226.00","$76,843.31",90036,5
Tenant Application Received,1,30,Other,Male,"$1,146.00","$3,250.00",90033,14
Closed Ineligible,2,30,Hispanic,Female,"$1,221.68","$4,886.72",90038,13
Tenant Application Received,1,30,Asian,Male,"$2,800.00","$27,693.31",90005,10
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,White,Male,"$1,450.00","$1,450.00",91306,3
Application on Hold,5,30,Black,Female,"$1,695.00","$6,287.16",90008,10
Tenant Pending Final Submission of Documents,2,30,Black,Male,"$1,100.00","$3,300.00",91411,6
Closed Ineligible,1,30,Other,Female,$925.00,"$5,550.00",91401,2
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,$900.00,"$3,100.00",90029,13
Tenant Application Received,1,30,Black,Female,"$1,750.00","$14,000.00",90047,8
Application on Hold,2,30,Hispanic,Male,$329.11,"$2,000.00",90006,1
Application on Hold,5,30,Hispanic,Male,"$1,200.00","$4,800.00",90006,1
Tenant Application Received,1,30,Asian,Male,"$1,778.61","$24,900.54",90006,10
Tenant Application Received,4,30,Hispanic,Female,"$1,400.00","$11,200.00",90003,9
Tenant Application Received,2,30,Hispanic,Female,"$1,800.00","$39,600.00",91606,2
Tenant Application Received,1,30,Black,Male,"$1,333.00","$22,400.00",90004,13
Tenant Application Received,8+,30,Hispanic,Male,"$2,700.00","$18,900.00",90011,9
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$3,300.00","$4,905.00",91307,12
Tenant Application Received,2,30,Hispanic,Male,"$1,050.00","$7,350.00",90026,13
Tenant Pending Final Submission of Documents,2,30,White,Female,"$3,124.00","$3,280.87",90012,14
Application on Hold,1,30,Black,Female,$892.00,"$7,930.00",90731,15
Tenant Pending Final Submission of Documents,1,30,Black,Male,$625.00,"$3,325.00",90045,11
Tenant Application Received,1,30,White,Female,"$1,193.00","$26,246.00",90038,13
Tenant Application Received,4,30,Other,Female,"$1,895.00","$12,265.00",91605,2
Application on Hold,2,30,Hispanic,I prefer not to answer,"$2,495.00","$7,185.00",90031,1
Tenant Approved: Landlord Eligibility Under Review,4,30,Hispanic,Female,"$1,887.00","$9,435.00",90003,9
Tenant Application Received,2,30,Other,Female,"$1,329.42","$21,270.72",90005,10
Tenant Application Received,1,30,White,Male,"$1,221.39","$9,771.12",90027,13
Closed Ineligible,2,30,Black,Male,"$2,200.00","$33,000.00",90044, 
Closed Ineligible,2,30,Black,Female,"$1,500.00","$9,000.00",93536, 
Tenant Application Received,4,30,Black,Male,"$1,800.00","$20,469.34",90042,1
Tenant Pending Final Submission of Documents,2,30,Hispanic,Female,"$1,946.00","$9,430.00",90037,9
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$1,200.00","$7,200.00",90003,8
Tenant Pending Final Submission of Documents,2,30,Black,Male,"$1,955.00","$1,955.00",90068,4
Tenant Application Received,4,30,White,Male,"$2,750.00","$55,000.00",91436,4
Closed Ineligible,2,30,Black,Female,$895.00,"$6,265.00",90047, 
Tenant Application Received,2,30,Black,Female,"$2,848.00","$20,086.00",90005,10
Tenant Application Received,1,30,Black,Female,"$1,500.00","$12,000.00",90016,10
Tenant Application Received,1,30,White,Female,"$3,000.00","$7,700.00",90026,13
Closed Ineligible,1,50,Other,I prefer not to answer,"$1,800.00","$10,800.00",91367,3
Application on Hold,2,30,Black,Female,"$1,323.00","$6,166.39",90044,9
Tenant Pending Final Submission of Documents,3,30,White,Male,"$4,950.00","$46,600.00",91602,2
Tenant Application Received,6,30,Other,Male,"$2,300.00","$39,704.67",91423,4
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Asian,Male,"$1,250.00","$7,500.00",90005,5
Tenant Application Received,1,50,White,Female,"$1,255.00","$2,735.00",90005,10
Application on Hold,1,30,Black,Female,"$1,695.00","$10,170.00",90020,10
Closed Ineligible,2,30,Other,Female,"$3,242.00","$12,426.00",90015,14
Application on Hold,1,30,Black,Male,"$1,200.00","$7,200.00",90057,1
Tenant Approved: Landlord Pending Initial Submission of Documents,3,30,Asian,Female,"$1,766.00","$10,596.00",90006,10
Closed Ineligible,3, ,White,Female,"$1,600.00","$9,600.00",91789-1338, 
Tenant Pending Final Submission of Documents,1,30,Black,Male,"$2,500.00","$15,000.00",90003,8
Closed Ineligible,1,30,Black,Female,"$2,950.00","$17,700.00",90026,13
Tenant Application Received,1,30,Black,Male,"$2,000.00","$20,150.00",91406,6
Tenant Approved: Landlord Pending Initial Submission of Documents,2,30,Black,Male,"$7,200.00","$28,800.00",91325,12
Tenant Application Received,3,30,White,Male,"$2,975.00","$26,775.00",91352,2
Tenant Approved: Landlord Final Notification to Respond,1,30,White,Male,$951.00,"$1,902.00",91605,6
Tenant Pending Final Submission of Documents,4,30,Hispanic,Female,"$3,000.00","$15,000.00",91335,3
Tenant Application Received,2,30,Hispanic,Female,"$1,749.00","$13,560.64",91311,12
Tenant Eligibility Under Review,3,30,White,Male,"$5,600.00","$50,400.00",90018,10
Tenant Application Received,4,30,Hispanic,Female,"$2,300.00","$20,700.00",90022, 
Tenant Approved: Closed Landlord Paid,1,30,Other,Male,"$2,341.04","$9,549.10",90034,5
Tenant Pending Final Submission of Documents,1,30,White,Male,"$1,800.00","$1,800.00",90025,11
Tenant Application Received,1,30,Other,Female,"$2,099.00","$31,485.00",90034,5
Tenant Pending Final Submission of Documents,1,30,White,Male,"$2,800.00","$14,000.00",91606,2
Tenant Application Received,1,30,White,Female,"$1,358.00","$13,580.00",91602,2
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,760.00","$3,520.00",90035,5
Application on Hold,1,30,Asian,Female,"$1,200.00","$7,200.00",90019,5
Application on Hold,4,30,Black,Male,"$1,915.00","$11,490.00",90019,10
Tenant Application Received,3,30,White,Male,"$2,250.00","$47,750.00",91042,7
Tenant Application Received,3,30,White,Male,"$4,650.00","$29,550.00",90046,4
Tenant Application Received,2,30,White,Female,"$1,671.00","$11,697.00",91303,3
Tenant Approved: Landlord Final Notification to Respond,1,30,Black,Male,$904.00,$904.00,90008,8
Tenant Pending Final Submission of Documents,3,30,White,Male,"$4,000.00","$10,000.00",90038,13
Application on Hold,1,30,Black,Female,"$2,514.83","$13,468.12",91607,2
Tenant Application Received,1,30,White,Female,"$2,700.00","$89,100.00",91604,4
Tenant Eligibility Under Review,3,30,White,Male,"$5,600.00","$50,400.00",90006,1
Application on Hold,4,30,Black,Male,"$1,995.00","$3,095.00",91304,3
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Black,Female,$848.68,$848.68,90501,15
Tenant Application Received,1,30,Hispanic,Female,$950.00,"$8,550.00",90007,9
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,600.00","$9,600.00",91601,2
Tenant Approved: Landlord Pending Final Submission of Documents,1,30,Black,Female,"$1,700.00","$9,101.06",90017,1
Tenant Application Received,1,30,Black,I prefer not to answer,"$1,200.00","$28,800.00",90044,15
Tenant Application Received,3,30,White,Male,"$2,300.00","$15,400.00",90033,14
Tenant Application Received,2,30,Hispanic,Female,"$1,768.00","$28,288.00",90027,13
Tenant Approved: Landlord Final Notification to Respond,2,30,Black,Female,$890.00,"$4,360.00",90003,9
Tenant Pending Final Submission of Documents,1,30,White,Male,"$1,756.00",$125.00,90017,1
Closed Ineligible,2, ,White,Male,"$2,980.00","$20,860.00",91040,7
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Black,Female,"$3,000.00","$9,000.00",90013,14
Tenant Approved: Landlord Pending Initial Submission of Documents,1,30,Other,Female,"$1,050.00","$5,050.00",90019,10
Application on Hold,3,30,Black,Female,"$2,100.00","$14,108.19",90028,13
Tenant Approved: Landlord Pending Final Submission of Documents,8+,30,Hispanic,Female,"$1,500.00","$9,000.00",90011,9
Tenant Approved: Closed Landlord Paid,2,30,Hispanic,Female,"$1,885.00","$9,000.00",91316,4
Tenant Approved: Closed Landlord Paid,1,30,Asian,Male,"$1,500.00","$7,500.00",90005,10
Tenant Application Received,1,30,Black,Male,"$1,300.00","$16,900.00",90006,1
Tenant Application Received,4,30,Other,Male,"$3,625.00","$33,475.00",90272,11
Tenant Application Received,1,30,White,Female,"$1,278.96","$34,354.62",90035,5
Tenant Application Received,2,30,Black,Male,"$2,289.42","$16,212.12",90048,5
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$1,700.00","$15,300.00",90044,8
Tenant Pending Final Submission of Documents,3,30,Hispanic,Female,"$1,445.00","$6,270.00",91411,6
Tenant Approved: Landlord Final Notification to Respond,1,30,Black,Male,"$1,650.00","$9,900.00",90007,9
Closed Ineligible,4,50,Black,Male,"$4,150.00","$38,184.00",90211, 
Tenant Pending Final Submission of Documents,1,30,White,Female,"$1,155.00","$1,155.00",91405,2
Tenant Approved: Closed Landlord Paid,1,30,White,Female,"$1,479.42","$2,954.42",90036,5
Tenant Application Received,2,30,Black,Male,"$2,600.00","$54,600.00",90012,14
Tenant Application Received,1,30,White,Female,"$3,000.00","$36,000.00",90027,4
Tenant Approved: Closed Landlord Paid,2,30,White,Female,"$1,700.00","$3,400.00",90045,11
Closed Ineligible,1,30,White,Male,"$4,100.00","$82,000.00",91387, 
Tenant Pending Final Submission of Documents,3,30,Hispanic,Male,"$1,085.00","$1,085.00",91606,2
Tenant Application Received,1,30,Hispanic,Male,"$1,500.00","$12,000.00",90061,8
Tenant Application Received,4,30,White,Male,"$3,055.00","$24,440.00",90036,5
Tenant Pending Final Submission of Documents,1,30,Black,Female,"$2,576.83","$15,460.98",90019,10
Tenant Approved: Closed Landlord Paid,4,30,Other,Male,"$1,510.00","$3,180.00",90017,1
